"","low","high"
"MEdarkorange",0.186653850248591,-0.186653850248591
"MEdarkturquoise",0.130950262925646,-0.130950262925646
"MEdarkred",0.15893257213713,-0.15893257213713
"MElightcyan",-0.265761337418825,0.265761337418825
"MEroyalblue",-0.306763939911421,0.306763939911421
"MEyellow",-0.199660759298903,0.199660759298903
"MEdarkgreen",-0.192878563493186,0.192878563493186
"MEgrey60",0.249817208932939,-0.249817208932939
"MEsaddlebrown",-0.149870384408043,0.149870384408043
"MEwhite",-0.246556401679715,0.246556401679715
"MEmagenta",-0.30855029754396,0.30855029754396
"MEdarkgrey",0.00790364419232597,-0.00790364419232597
"MEturquoise",-0.116530843498162,0.116530843498162
"MEbrown",0.559564869672315,-0.559564869672315
"MEpurple",0.245028567558726,-0.245028567558726
"MEblue",-0.419426081713554,0.419426081713554
"MEblack",0.218729827775969,-0.218729827775969
"MEcyan",0.238584481153633,-0.238584481153633
"MEgrey",-0.168325107179908,0.168325107179908
